nctid	criterion	cluster
NCT05125458	diagnosis of psoriasis, hidradenitis suppurativa, or atopic dermatitis, any grade of severity;	15
NCT05125458	stability of the cutaneous disease;	15
NCT05125458	ongoing treatment. Inclusion criteria for subjects with HIV or HBV:	15
NCT05125458	documented HIV or HBV infection;	15
NCT05125458	treatment with antiviral therapy;	14
NCT05125458	viral suppression (HIV-RNA or HBV-DNA) for at least 6 months. Inclusion criteria for both groups:	15
NCT05125458	age ≥ 18 years	28
NCT05125458	willingness to provide informed consent.	22
NCT05128500	both genders	15
NCT05128500	at least 18 years old of age	9
NCT05128500	undergoing a primary total shoulder arthroplasty with MIRAI® Prosthesis System (anatomic or reverse, stemless or stemmed).	15
NCT05128500	Signed informed consent	5
NCT05130606	Aim 1 and	15
NCT05130606	Self-identify as a Latina woman	15
NCT05130606	Be 18 years old or older	9
NCT05130606	Be able to provide informed consent	22
NCT05130606	Be fluent in Spanish	15
NCT05130606	Meet NCCN criteria to be considered for genetic cancer risk assessment for HBOC, whether by a personal history of cancer or family history of cancer	4
NCT05130606	No previous participation in genetic counseling or testing for hereditary breast and ovarian cancer risk	4
NCT05130606	No other family members are participating in this study	15
NCT05130606	Have not participated in any previous studies involving interventions about HBOC or GCT Aim	15
NCT05130606	Be 18 years old or older	9
NCT05130606	Be fluent in English or Spanish	15
NCT05130606	Have a role in the partner community clinic as either a) full-time or part-time employee b) intern c) volunteer	15
NCT05130814	Patients with 2° or 3° stage lower limb/ sacrum located pressure ulcers;	3
NCT05130814	Patients with 2° or 3° stage pressure ulcers with a ≥ 2cm² lesion area;	3
NCT05130814	Patients with a hospitalization waiting time \< 30 day;	3
NCT05130814	Men and women aged ≥ 50 years;	21
NCT05130814	Patients with a Braden scale score ≥ 11;	3
NCT05131815	Cancer (all types) diagnosis between the ages of 15-39	4
NCT05131815	Between the ages of 18-39 during study participation	15
NCT05131815	At least 3 months post-active treatment completion	15
NCT05131815	"Answers ""no"" to all questions on the Physical Activity Readiness Questionnaire"	15
NCT05131815	Not currently meeting physical activity guidelines per leisure-time physical activity participation questionnaire	15
NCT05131815	Access to and ability to use a computer, tablet or phone device with internet access	15
NCT05131815	Ability to understand and read English	15
NCT05131815	Written informed consent obtained from subject and ability for subject to comply with the requirements of the study	17
NCT05131893	Participant over 18 years of age .	28
NCT05131893	Histologically confirmed (core biopsy) invasive breast tumor.	25
NCT05131893	Tumor extent for the indication:	15
NCT05131893	regression must be achieved for radical surgical removal or	15
NCT05131893	regression is required for breast-conserving surgery or	15
NCT05131893	if hormone receptor (HR)-positive and Her2-: stage IIB (cT2N1 or cT3NO) - IIIC,	0
NCT05131893	if HR-negative: stage IIA (cT2N0 or cT0-1N1) - IIIC Note: In the case of a locally advanced, irresectable case, if the possibility of radical surgery later is a realistic goal, the participant may be included in the study.	15
NCT05131893	Appropriate general condition: ECOG 0-1	15
NCT05131893	Proper organ function	15
NCT05131893	Neutrophil count ≥ 1.5 G / l, platelet count ≥ 100 G / l, hemoglobin ≥ 10 g / dl	15
NCT05131893	Alanine aminotransferase (ALT) / aspartate aminotransferase (AST) is less than 1.5 times the upper limit of the normal range	29
NCT05131893	bilirubin less than 1.5 times the upper limit of the normal range (except Gilbert's disease, where less than 3 times)	23
NCT05131893	creatinine less than 1.5 times the upper limit of the normal range or estimated glomerular filtration rate (eGFR) higher than 60 ml / min	23
NCT05134727	Healthy male and female (of non-childbearing potential) subjects aged Part 1 (SAD): 18 - 55 years; Part 2 (MAD): 18 - 55 for male and 18 -49 for females, inclusive, with suitable veins for cannulation or repeated venipuncture.	18
NCT05134727	Female subjects must have a negative pregnancy test.	7
NCT05134727	Have a BMI between 18 and 30 kg/m2 inclusive and weigh at least 50 kg.	15
NCT05134727	Male subjects and their women of childbearing potential partners must be willing to use highly effective contraception measures and must refrain from donating sperm or fathering a child from the first day of dosing until 17 days after the last dose of Investigational medicinal product. Exclusion Criteria	16
NCT05134727	History of any clinically important disease or disorder, or a major medical/surgical procedure or significant trauma within 4 weeks of the first dose of IMP.	15
NCT05134727	Untreated tuberculosis (TB) or a positive result for the interferon gamma release assay (ie, QuantiFERON TB Gold).	15
NCT05134727	A positive result for serum hepatitis B surface antigen, hepatitis B core antibody, or hepatitis C antibody, at the Screening Visit.	15
NCT05134727	Ongoing acquired or inherited immunodeficiency disorders, including but not limited to HIV or common variable immunodeficiency, or the subject is taking immune replacement therapy.	15
NCT05134727	Individuals with chronic infections (eg, urinary tract infection) or who are at increased risk of infection (eg, surgery, trauma, severe dental disease, or significant infection) within 30 days of screening.	15
NCT05134727	History of severe COVID-19 infection requiring hospitalization within the last 12 months prior to Screening, or clinical history compatible with Long COVID 19 (symptoms beyond 12 weeks of acute infection).	15
NCT05134727	Confirmed COVID-19 infection during Screening and/or admission by reverse transcription polymerase chain reaction (RT-PCR) test. Subjects who previously had a positive test result during the screening visit or on Day-1 may be reconsidered for inclusion after they recover from the infection as confirmed by a negative retest before (re-)admission.	15
NCT05134727	History of cancer within the last 10 years (20 years for breast cancer) except for basal and squamous cell carcinoma of the skin or in situ carcinoma of the cervix treated and considered cured. Any history of lymphoma is not allowed.	4
NCT05134727	History of osteoporosis, osteomalacia, Paget's disease of the bone, thyrotoxicosis, rheumatoid arthritis, Cushing's disease, or a pathological fracture.	15
NCT05134727	History of a traumatic fracture within 6 months of the Screening visit.	15
NCT05134727	A Bone density scans (DEXA scan) bone mineral density value with T-score \< -1 for post-menopausal women and Z score \< -1.5 for male participants and premenopausal women of non-childbearing potential subjects (MAD cohorts only).	15
NCT05134727	Has received live or live attenuated vaccine in the 30 days prior to dosing, the first dose of COVID-19 vaccine within 30 days prior to randomization, or a COVID 19 vaccine second or booster vaccination within 10 days of screening.	14
NCT05134727	Ongoing acute gastrointestinal (GI) disease, a history of chronic GI disease, ongoing acute hepatic disease, or a history of chronic hepatic disease, chronic renal disease, pancreatic disease, diabetes mellitus, or any condition known to interfere with absorption, distribution, metabolism, or excretion of drugs.	15
NCT05134727	History of Gilbert's syndrome.	15
NCT05134727	History of muscle disease or rhabdomyolysis.	15
NCT05134727	Any laboratory values with the deviations at the Screening Visit and/or Day -1 from the reference range.	15
NCT05134727	Any clinically important abnormalities in clinical chemistry, hematology, or urinalysis.	15
NCT05134727	Any clinically important abnormalities in rhythm, conduction or morphology of the resting electrocardiogram (ECG) and any clinically important abnormalities in the 12 lead ECG that may interfere with the interpretation of QTc interval changes, including abnormal ST wave morphology, particularly in the protocol defined primary lead or left ventricular hypertrophy.	15
NCT05134727	Known or suspected history of drug abuse.	15
NCT05134727	Current smokers who smoke \> 5 cigarettes/e-cigarette/pipes per week or use of any tobacco in any other form.	15
NCT05134727	History of alcohol abuse or excessive intake of alcohol within 6 months prior to screening.	15
NCT05134727	Positive screen for drugs of abuse or alcohol at screening or admission.	15
NCT05134727	History of severe allergy/hypersensitivity or ongoing clinically important allergy/hypersensitivity.	15
NCT05134727	Plasma donation within 1 month of Screening or any blood donation/loss \> 500 mL within 3 months of Screening.	15
NCT05134727	Use of any prescribed or nonprescribed medication including antacids, analgesics (other than paracetamol/acetaminophen), HRT (for females), herbal remedies, mega dose vitamins and minerals during the 2 weeks prior to the first administration of IMP or longer if the medication has a long half life.	14
NCT05134727	Use of drugs with enzyme inducing properties such as St John's Wort within 3 weeks prior to the first administration of IMP.	14
NCT05134727	Excessive intake of high caffeine-containing drinks or food (eg, coffee, tea, energy drinks).	15
NCT05134727	Has received another new chemical entity (defined as a compound that has not been approved for marketing) within 3 months of the first administration of IMP in this study.	15
NCT05134727	Subjects who are vegans or have medical dietary restrictions.	15
NCT05136196	STEP 1 - SPECIMEN SUBMISSION	15
NCT05136196	Participants must have histologically confirmed melanoma that is stage III or IV, unresectable, recurrent, or metastatic non-uveal melanoma OR Participants must have histologically confirmed squamous cell carcinoma of the head and neck (HNSCC) that is either locally recurrent and non-amendable to curative therapy (e.g., radiation, surgery) or metastatic. The primary tumor location must be the oropharynx, oral cavity, hypopharynx, or larynx. Primary tumor site of nasopharynx (any histology) or unknown primary tumor are not eligible	25
